Title,Location,Company,Unnamed: 0
20755-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A,
Ingeniero de Datos,"Bogota, D.C., Capital District, Colombia",Banco Unión,
Analista de sistemas - Medellín,"Medellín, Antioquia, Colombia",Eficacia,
DIRECTOR DE IT (SECTOR FINTECH),"Bogota, D.C., Capital District, Colombia",ACIERTA HEADHUNTER,
Ingeniero de Datos,"Barranquilla, Atlántico, Colombia",Banco Unión,
Analista Administrativo,"Bogota, D.C., Capital District, Colombia",Staffing de Colombia,
Ingeniero de Datos,"Medellin, Antioquia, Colombia",Banco Unión,
Capacitador / formador,"Bogota, D.C., Capital District, Colombia",Tecnología Informática,
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36097)",Colombia,Bancolombia,
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Afines (36067)",Colombia,Bancolombia,
Analista Jr de continuidad de negocio,"Bogota, D.C., Capital District, Colombia",Ualá,
Auxiliar de sistemas,"Bogota, D.C., Capital District, Colombia",Multiempleos S.A.,
Analista de Desarrollo SQL Junior,"Medellín, Antioquia, Colombia",Complementos Humanos,
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Software, Carreras Afines (36101)",Colombia,Bancolombia,
Aprendiz Universitario en ingeniería de Sistemas o Ingeniería Informática (35191),Colombia,Bancolombia,
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Estadística (35852)",Colombia,Bancolombia,
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática (35254)",Colombia,Bancolombia,
"Aprendiz Universitario en Ingeniería Financiera, Ingeniería de Sistemas, Carreras Afines (35564)",Colombia,Bancolombia,
Tu primer empleo en Google Cloud,"Sevilla, Valle del Cauca, Colombia",Accenture Colombia,
20806-Analista Soporte TIC Soporte Nivel 2,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A,
Aprendiz Técnico o Tecnólogo en Sistemas o Afines (30754),Colombia,Bancolombia,
Aprendiz de Sistemas o Informática - Carrera técnica o tecnología,"Cali, Valle del Cauca, Colombia",COOMEVA,
21002-Técnico de Soporte nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A,
20757-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A,
20756-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A,
20501-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A,
20755-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A,
Analista de sistemas - Medellín,"Medellín, Antioquia, Colombia",Eficacia,
Ingeniero de Datos,"Bogota, D.C., Capital District, Colombia",Banco Unión,
Analista Administrativo,"Bogota, D.C., Capital District, Colombia",Staffing de Colombia,
Capacitador / formador,"Bogota, D.C., Capital District, Colombia",Tecnología Informática,
Ingeniero de Datos,"Barranquilla, Atlántico, Colombia",Banco Unión,
Ingeniero de Datos,"Medellin, Antioquia, Colombia",Banco Unión,
Desarollador WEB,"Bogota, D.C., Capital District, Colombia",ADA S.A.,
Analista de Sistemas,"Bogota, D.C., Capital District, Colombia",ADA S.A.,
Jr Web Developer,"Bogota, D.C., Capital District, Colombia",ABCW Global,
Docente de Informática,"Bogota, D.C., Capital District, Colombia",ReclutaPro Colombia,
Ingeniero de Datos,"Cali, Valle del Cauca, Colombia",Banco Unión,
Practicante De Sistemas,"Girón, Santander, Colombia",Metalteco,
Ingeniero de Datos,"Pereira, Risaralda, Colombia",Banco Unión,
Analista de Soporte Técnico - SQL,"Medellín, Antioquia, Colombia",E-Global S.A.,
Desarrollador de Base de Datos,"Bogota, D.C., Capital District, Colombia",ADA S.A.,
Analista de Seguridad Informática Nivel 1,"Bogota, D.C., Capital District, Colombia",Mercanet SAS,
Asistente Técnico de Programa para Soluciones Digitales,"Bogota, D.C., Capital District, Colombia",World Food Programme,
Auxiliar De Centro De Cómputo,"Medellin, Antioquia, Colombia",Leonisa S.A.,
PRACTICANTE DE INFORMATICA,"Cali, Valle del Cauca, Colombia",TRAVEL CENTER GROUP SAS,
20451-Líder de Soporte TIC,"Bogota, D.C., Capital District, Colombia",Magneto Empleos,
Analista (Semi Senior) - Sección Configuración Evolución Aplicativos,Colombia,Bancolombia,
Analista calidad y procesos,"Bogota, D.C., Capital District, Colombia",Tecnología Informática,
Ing Centro Servicio TI - Pool de Talento,Colombia,bvc-Bolsa de Valores de Colombia S.A.,
Analista de Sistemas de Información,"Bogota, D.C., Capital District, Colombia",GHL Hoteles,
Diseñador Web Gráfico,"Bogota, D.C., Capital District, Colombia",ADA S.A.,
Analista De Aplicaciones Y Monitoreo - Informatica,"Girardot, Cundinamarca, Colombia",Soporte Sa,
Analista De Procesos Y Seguridad Ti,"Barranquilla, Atlántico, Colombia",ISES Ingeniería y Soluciones Especializadas,
Junior Java Developer – Vizcaya,"Antioquia, Colombia",Teknei,
Analista de bases de Datos Microsoft Dynamics - SQL.,"Medellín, Antioquia, Colombia",E-Global S.A.,
Analista TIC - Profesional recién egresado o estudiante de últimos semestres de Ingeniería de Sistemas o carreras afines,"Bogota, D.C., Capital District, Colombia",MANPOWER PROFESSIONAL LTDA,
Analista TIC - Profesional recién egresado o estudiante de últimos semestres de Ingeniería de Sistemas o carreras afines,"Bogota, D.C., Capital District, Colombia",MANPOWER PROFESSIONAL LTDA,
